pose_id,yaw_truth,pitch_truth,roll_truth,B1x,B1y,B1z,B2x,B2y,B2z,temp_C
0,109.527,9.208,8.256,1.1515,0.5880,-0.2511,0.6982,-3.9813,1.4026,
1,75.910,8.760,7.886,1.2373,-0.5145,0.2450,-0.5022,-3.7853,1.4761,
2,45.425,7.955,7.946,0.8820,-1.6048,0.6737,-1.8497,-2.0090,1.0535,
3,20.868,7.673,8.208,0.3675,-2.1805,0.9249,-2.3887,0.0735,0.3675,
4,-15.021,7.742,8.737,-0.4410,-2.3397,0.9678,-2.2663,2.6889,-0.6738,
5,-40.806,7.999,8.853,-1.0719,-1.8375,0.7656,-1.4945,3.8343,-1.2005,
6,-75.789,8.514,8.647,-1.4884,-0.5696,0.1960,-0.3675,4.0976,-1.4639,
7,-105.046,8.722,9.027,-1.4455,0.7656,-0.3736,0.7228,3.4729,-1.3475,
8,-104.586,-7.924,-7.200,-5.0286,2.0641,-0.6125,1.6476,1.5251,-0.4594,
9,-75.012,-8.358,-7.032,-4.7959,-2.8298,1.1760,1.3230,2.2969,-0.8330,
10,-50.555,-8.680,-7.277,-3.2034,-6.3884,2.3030,0.8453,2.7379,-1.0413,
11,-20.434,-8.970,-7.412,-0.7228,-8.3606,2.9951,0.0245,2.6338,-1.0168,
12,0.117,-9.077,-7.567,0.8085,-8.4709,3.0319,-0.5635,2.2111,-0.9433,
13,16.735,-9.004,-7.725,2.0396,-7.8829,2.8542,-1.0964,1.6231,-0.6492,
14,46.087,-8.721,-8.049,3.6627,-5.5860,1.9171,-1.5986,0.1225,-0.1776,
15,75.144,-8.322,-8.115,4.5876,-1.7334,0.4471,-1.6599,-1.3536,0.4226,
16,100.881,-7.857,-7.869,4.2140,2.2111,-0.9310,-1.3353,-2.3091,0.8514,
17,94.729,8.603,-8.005,1.7701,1.2617,-0.7289,-2.3520,-5.7085,1.8620,
18,110.381,8.249,-8.318,1.1025,1.7579,-0.8391,-1.5006,-5.7636,1.8865,
19,75.913,7.651,-8.489,1.9110,0.2634,-0.3614,-3.1360,-4.4100,1.4394,
20,46.429,7.026,-8.409,1.9845,-1.5986,0.4716,-3.8955,-0.9984,0.2879,
21,15.628,6.560,-8.066,1.5986,-3.0319,1.1454,-3.0809,2.8971,-0.9800,
22,-5.153,6.378,-7.668,1.0351,-3.5892,1.4087,-1.8436,4.8081,-1.6354,
23,-19.723,6.394,-7.382,0.5329,-3.6015,1.5129,-0.9188,5.6717,-1.9294,
24,-45.380,6.678,-6.904,-0.4226,-3.2401,1.4516,0.5084,6.1801,-2.0641,
25,-70.827,6.962,-6.797,-1.4639,-2.1989,1.0351,1.6905,5.7636,-1.9110,
26,-101.436,7.412,-6.995,-2.2234,-0.1470,0.3246,2.9032,4.2385,-1.3598,
27,-115.867,7.635,-7.451,-2.3581,0.9861,-0.1531,3.3565,2.9400,-0.9616,
28,-111.181,-7.401,7.938,-1.8436,2.8971,-1.3475,1.1576,1.4639,-0.6064,
29,-85.556,-7.606,8.317,-2.7562,0.9922,-0.7472,0.5758,1.8742,-0.7779,
30,-65.712,-7.992,8.609,-3.1973,-0.9432,0.0735,0.1837,2.1376,-0.8207,
31,-45.435,-8.459,8.644,-2.9829,-2.7440,0.8207,-0.2389,2.1499,-0.8330,
32,-20.351,-8.889,8.446,-2.3030,-4.2017,1.5129,-0.6676,1.8191,-0.6554,
33,-5.142,-9.106,8.240,-1.6966,-4.6550,1.7946,-0.9739,1.4088,-0.4839,
34,5.253,-9.185,8.127,-1.2311,-4.8081,1.8804,-1.0719,1.0719,-0.3369,
35,17.617,-9.257,7.971,-0.6492,-4.7652,1.9600,-1.1760,0.6370,-0.2144,
36,24.191,-9.228,7.802,-0.2940,-4.6305,1.8865,-1.2373,0.3675,-0.1225,
37,46.533,-8.971,7.433,0.6309,-3.9629,1.7272,-1.2127,-0.5819,0.3430,
38,70.197,-8.505,7.285,1.7640,-2.5602,1.2372,-0.8330,-1.4087,0.6125,
39,88.080,-8.088,7.442,2.3642,-1.0964,0.6799,-0.5696,-1.8069,0.8085,
40,110.085,-7.572,7.640,2.6644,0.7228,-0.0123,-0.0490,-2.1499,0.8514,
41,105.647,8.857,0.339,1.4639,1.1025,-0.5206,-0.0368,-5.0715,1.8008,
42,70.023,8.024,0.115,1.5435,-0.5084,0.1776,-1.7027,-3.9690,1.5864,
43,45.745,7.458,0.250,1.3904,-1.6783,0.7718,-2.7440,-1.8620,0.8942,
44,8.423,6.828,0.899,0.6370,-2.7624,1.1454,-2.8236,1.8742,-0.4104,
45,-18.933,6.841,1.467,-0.2021,-2.8787,1.2679,-1.9233,4.0670,-1.2127,
46,-44.825,7.143,1.942,-0.9494,-2.3581,1.0045,-0.8820,4.9551,-1.6415,
47,-67.759,7.505,2.087,-1.4945,-1.4088,0.5880,0.0980,5.0103,-1.7395,
48,-84.932,7.831,2.096,-1.7946,-0.5390,0.2511,0.7901,4.7101,-1.6905,
49,-113.494,8.252,2.007,-1.7579,1.0106,-0.4043,1.8926,3.4300,-1.3597,
50,-111.722,-8.178,-0.453,-3.3075,3.3871,-1.4823,1.4087,1.4026,-0.5390,
51,-81.780,-8.247,-0.321,-4.3243,-0.3124,-0.1103,1.0106,2.0396,-0.8452,
52,-52.241,-8.581,-0.239,-3.7056,-4.2140,1.4026,0.3614,2.3949,-0.9616,
53,-26.713,-9.103,-0.367,-2.3030,-6.3026,2.2172,-0.2144,2.2785,-0.8881,
54,-0.031,-9.282,-0.709,-0.6431,-6.9764,2.5419,-0.8514,1.6966,-0.6492,
55,18.997,-9.446,-0.927,0.5145,-6.6150,2.4929,-1.2066,0.9922,-0.3675,
56,46.311,-9.191,-1.272,2.1499,-5.1940,2.0641,-1.4639,-0.2634,0.0612,
57,74.762,-8.749,-1.345,3.4239,-2.2418,0.9922,-1.2311,-1.4639,0.6431,
58,97.294,-8.402,-1.197,3.6750,0.5819,-0.1041,-0.8514,-2.1683,0.8759,
59,105.578,0.849,8.787,1.9110,0.5941,-0.1960,0.1531,-2.8910,1.0964,
60,78.129,0.475,8.688,1.6048,-0.8452,0.4778,-0.5267,-2.5235,1.0351,
61,50.604,-0.018,8.727,1.0290,-2.2172,1.0229,-1.2801,-1.3965,0.7044,
62,29.744,-0.382,8.853,0.3797,-2.8726,1.2311,-1.6293,-0.2572,0.2940,
63,9.131,-0.566,9.065,-0.2695,-3.2095,1.3598,-1.6966,0.8636,-0.1286,
64,-14.540,-0.650,9.348,-1.0351,-3.1299,1.2801,-1.4026,1.9355,-0.6309,
65,-46.601,-0.544,9.702,-1.8191,-2.1376,0.7289,-0.6737,2.7930,-0.9616,
66,-76.518,-0.190,9.854,-2.1560,-0.3736,0.0674,0.0919,2.7869,-1.0351,
67,-101.320,0.260,9.680,-1.8253,1.1025,-0.6247,0.6982,2.4010,-1.0045,
68,-107.371,0.206,-8.965,-3.4606,0.7044,-0.0184,2.3765,2.2172,-0.6799,
69,-73.177,-0.027,-8.867,-2.4868,-2.8297,1.3536,1.8375,3.7056,-1.2373,
70,-53.104,-0.302,-8.759,-1.3352,-4.5570,1.9294,1.2250,4.2017,-1.5190,
71,-22.534,-0.621,-8.947,0.4226,-5.5431,2.1254,0.0613,4.0976,-1.5496,
72,-0.034,-0.850,-9.171,1.5374,-5.3594,2.0029,-0.9922,3.3198,-1.2924,
73,15.737,-0.909,-9.391,2.2540,-4.8326,1.6721,-1.6782,2.4194,-1.0351,
74,43.036,-0.548,-9.814,2.9645,-3.1115,1.0045,-2.5296,0.2572,-0.2205,
75,75.464,-0.014,-10.048,2.9829,-0.0857,-0.1715,-2.5725,-2.3643,0.7534,
76,92.507,0.279,-10.026,2.6399,1.7150,-0.9126,-2.1560,-3.4484,1.1944,
77,105.790,0.610,-10.006,2.1315,2.8236,-1.3291,-1.7272,-4.0364,1.4210,
